Summary,Issue Type,Status,Project name,Project type,Description
LTI: Cookie issues,Bug,Open,Sakai,software,"There are a few cookie issues when adding an LTI tool. The quickest test is to add the store and then add Trophy to Lessons and launch Trophy with the browser console open. Not sure if this would be considered a â€œSakaiâ€ issue or purely Tsugi, but will need to watch if other pages are affected also.

* A 'set-cookie' header doesn't have the 'secure' directive. (Error)
* A 'set-cookie' header doesn't have the 'httponly' directive. (Warning)
* Reading cookie in cross-site context will be blocked in future Chrome versions (Warning)
* The 'Pragma' header should not be used, it is deprecated and is a request header only. (Warning)
* The 'X-Frame-Options' header should not be used. A similar effect, with more consistent support and stronger checks, can be achieved with the 'Content-Security-Policy' header and 'frame-ancestors' directive. (Warning)

URL given for fixing these issues: [Valid `Set-Cookie` header | webhint documentation|https://webhint.io/docs/user-guide/hints/hint-validate-set-cookie-header/?source=devtools]"
Sakai Mobile View is too wide or not responsive in several tools,Bug,Open,Sakai,software,"When viewed in mobile view, the responsive design for several tools is too wide for a cell-phone sized mobile device, resulting in a screen that appears to cut off data on one side and requires sideways scrolling to view the information. This is a very awkward and unpleasant experience for mobile device users. 

Ironically, some of the â€œolderâ€ tools in Sakai seem to be sized appropriately when viewed in mobile view, while several of the â€œnewerâ€ tools are the ones that donâ€™t size correctly for the screen. 

I have gone through tool by tool for all of the core, unstealthed tools typically available in a course site. I will include screenshots of the problematic ones below. 

Note: For my testing and screenshots, I used Firefoxâ€™s Responsive Design View with the iPhone SE 2nd edition selected for the size profile (i.e. 375 x 667). I also spot checked with a few other device sizes for other common phones, but the main difference was in the length of the display, not in the width of the device. Newer models like iPhone 12/13 Pro (390 x 844) and Galaxy S20 (360 x 800) still experienced the same issues with content being cut off.

||*Tool*||*Status*||*Screenshot/s*||
|Overview|good| |
|Announcements|good| |
|Assignments|assignment list page is ok, but student submission and instructor grading screens are too wide|!student-submit1.png|width=352,height=615,alt=""student-submit1.png""!
 
!student-submit2.png|width=350,height=609,alt=""student-submit2.png""!

!instructor-grade1.png|width=352,height=610,alt=""instructor-grade1.png""!

!instructor-grade2.png|width=350,height=614,alt=""instructor-grade2.png""!|
|Calendar|too wide|!calendar.png|width=349,height=619,alt=""calendar.png""!
!calendar2.png|width=355,height=613,alt=""calendar2.png""!|
|Chat Room|width ok, but Messages tab is partially hidden by Users in Chat tab and difficult to select|!chat.png|width=350,height=614,alt=""chat.png""!|
|Commons|too wide|!commons1.png|width=355,height=616,alt=""commons1.png""!

!commons2.png|width=352,height=612,alt=""commons2.png""!|
|Contact Us|good| |
|Conversations|good| |
|Dashboard|too wide; Site information section does not resize images and looks really bad|see associated Jira for more info and screenshots [https://sakaiproject.atlassian.net/issues/SAK-49917|https://sakaiproject.atlassian.net/issues/SAK-49917]|
|Discussions|forum/topic list looks ok, but the authoring screen when starting a conversation is too wide, also instructor add forum/topic screen is too wide
*Re-tested on 4/24/24 and instructor add forum/topic width looks ok in Chrome responsive mode and iPhone 13. However, â€œStart Conversationâ€ screen is still too wide for both student and instructor on all browsers tested.|!discussion1.png|width=351,height=610,alt=""discussion1.png""!

!discussion2.png|width=356,height=611,alt=""discussion2.png""!

!discussion3.png|width=356,height=618,alt=""discussion3.png""!

!discussion4.png|width=348,height=615,alt=""discussion4.png""!|
|Drop Box|too wide|!dropbox1.png|width=352,height=619,alt=""dropbox1.png""!

!dropbox2.png|width=349,height=617,alt=""dropbox2.png""!|
|Email|mostly good, but â€œSubjectâ€ is cut off a bit on right side|!email.png|width=352,height=617,alt=""email.png""!|
|Email Archive|good| |
|External Tool (External Tool)|seems ok, although this may vary by tool| |
|Gradebook|Instructor spreadsheet view doesnâ€™t work at all (maybe include a message in the UI about this?), but the instructorâ€™s view of an individual student is ok, and quick entry screen seems to work well. However, the student view of their own grades is too wide. Also instructor Categories and Weighting in Settings is too wide.|!gradebook-spreadsheet.png|width=352,height=611,alt=""gradebook-spreadsheet.png""!

!gb-categories.png|width=347,height=617,alt=""gb-categories.png""!

!gb-categories2.png|width=353,height=612,alt=""gb-categories2.png""!

!student-grades1 (2a3d17da-6395-43f8-8f2c-05d61ab7d8b4).png|width=353,height=604,alt=""student-grades1.png""!

!student-grade2 (177cc41f-700a-4420-b664-dcb432e6a55f).png|width=352,height=612,alt=""student-grade2.png""!|
|Lessons (Lessons)|good overall, although there is some odd overlapping when viewing collapsible sections that have been expanded.|!lessons-collapsible.png|width=360,height=615,alt=""lessons-collapsible.png""!|
|Messages|the Messages landing page looks fine, but when you click into a folder to actually view messages, it is too wide and table displays poorly|!messages-folders.png|width=352,height=617,alt=""messages-folders.png""!

!messages-folders1.png|width=350,height=612,alt=""messages-folders1.png""!|
|News|good| |
|Podcasts|good| |
|Polls|Polls landing page in student view is just a little bit too wide; however, the poll and poll results pages look fine. 
*Re-tested on 4/24/24 and the width is slightly better in Chrome and on iPhone, but it is still just a tiny bit too wide on student view of tool landing page, as well as on the instructor Add Poll screen for the CKEditor box.|!polls1.png|width=365,height=612,alt=""polls1.png""!

!polls2.png|width=356,height=617,alt=""polls2.png""!|
|PostEm|Instructor view not responsive - table displays poorly. Also, student view of individual feedback table is not responsive (although the landing page to select items to view looks ok)|!student-postem1.png|width=353,height=618,alt=""student-postem1.png""!

!student-postem2.png|width=352,height=614,alt=""student-postem2.png""!

!instructor-postem1.png|width=361,height=624,alt=""instructor-postem1.png""!

!instructor-postem2.png|width=352,height=619,alt=""instructor-postem2.png""!|
|Resources|too wide
*Re-tested on 4/24/24 and this is still an issue. Be sure to test it with some files/folders that have longer filenames.|!resources1.png|width=347,height=620,alt=""resources1.png""!

!resources2.png|width=353,height=617,alt=""resources2.png""!|
|Roster|good| |
|Rubrics|good| |
|Search|too wide
*Re-tested on 4/24/24 and Search does look ok in Chrome responsive mode and on iPhone 13. However, it does let you drag the screen sideways a bit, shifting right and left on both Chrome and iPhone, which seems a bit odd/unexpected.|!search2.png|width=353,height=616,alt=""search2.png""!

!search1.png|width=350,height=621,alt=""search1.png""!

!search4.png|width=356,height=619,alt=""search4.png""!

!search3.png|width=354,height=620,alt=""search3.png""!|
|Section Info|table doesnâ€™t resize and edit section page too wide|!sectioninfo2.png|width=347,height=609,alt=""sectioninfo2.png""!

!sectioninfo3.png|width=361,height=619,alt=""sectioninfo3.png""!

!sectioninfo1.png|width=347,height=618,alt=""sectioninfo1.png""!

!sectioninfo4.png|width=344,height=617,alt=""sectioninfo4.png""!|
|Sign-up|table doesnâ€™t resize and meeting detail is too wide|!signup1.png|width=353,height=617,alt=""signup1.png""!

!signup2.png|width=350,height=614,alt=""signup2.png""!

!signup3.png|width=356,height=616,alt=""signup3.png""!

!signup4.png|width=356,height=613,alt=""signup4.png""!|
|Site Info|good| |
|Statistics|Stats Overview page is a little too wide, but the Reports page looks fine.
*Re-tested on 4/24/24 and Overview page looks ok on iPhone 13.  In Chrome it still lets you shift left/right a little (similar to Search), but the content is all visible on the screen.|!statistics.png|width=355,height=617,alt=""statistics.png""!

!statistics2.png|width=357,height=615,alt=""statistics2.png""!|
|Syllabus|Student view looks fine. However, in Instructor view, the Add page is a little too wide, and the Manage page isnâ€™t responsive at all|!syllabus-add1.png|width=350,height=614,alt=""syllabus-add1.png""!

!syllabus-add2.png|width=355,height=612,alt=""syllabus-add2.png""!

!syllabus-manage1.png|width=360,height=614,alt=""syllabus-manage1.png""!

!syllabus-manage2.png|width=358,height=619,alt=""syllabus-manage2.png""!|
|Tests & Quizzes|a little too wide, although student view of quiz looks ok|!tq-instructor1.png|width=354,height=623,alt=""tq-instructor1.png""!

!tq-instructor2.png|width=350,height=614,alt=""tq-instructor2.png""!|
|Web Content|good| |
|Wiki|good| |

  "
Assignments: Status column empty in student's Assignment list for newly created assignment,Bug,Closed,Sakai,software,"For a newly created assignment the status column no longer is populated with â€˜Not Startedâ€™ as seen in the studentâ€™s Assignment list view. (see attachments - 22 shows â€˜Not Startedâ€™, 23, 25 show blank).

I believe this regression may have been introduced via work in or related to SAK-49527"
"Home: Profile, Dashboard defaulting to Dark Theme, regardless of user setting",Bug,Resolved,Sakai,software,"On a userâ€™s Home site, the Profile and Dashboard tools are defaulting to Dark Mode, regardless of the user settings. 

I noticed this with the automatically created Instructor account, then re-tested with another newly created account. My computerâ€™s app mode is set to light, Sakai is set to light mode, but these two pages display in dark mode. 

The only way I found to temporarily force them to light mode is to toggle dark mode on and off while viewing that page. When dark mode is toggled off, the page is in light mode until it is refreshed.

I am not able to reproduce this on Trunk/25"
CkEditor: toggling the collapse toolbar button multiple times increases text area,Bug,Resolved,Sakai,software,"Steps to reproduce



* Go to ckEditor
* Toggle the expand toolbar button multiple times
* The text area expands every time the button is clicked "
Lessons: Translation to Catalan is broken,Bug,Open,Sakai,software,Translation of Tool name â€˜lessonsâ€™ is in English instead of Catalan.
LTI-Assignments: Instructor is no longer able to grade lti assignment submissions,Bug,Closed,Sakai,software,"I was retesting [https://sakaiproject.atlassian.net/browse/SAK-49132|https://sakaiproject.atlassian.net/browse/SAK-49132|smart-link] when I discovered a new issue on 25x and 23x. This is not an issue on 22x. Since this affects 23x, making it a blocker. Previously, SAK-49132 did not affect the ability for the user to grade, which is why I didnâ€™t add this issue to that Jira.

On 25x and 23x, once the student has submitted and the instructor clicks to grade, there are no longer input fields for the score and comment. The grader does not display (and isnâ€™t expected to in this case, but there is a Jira to enable the grader for lti assignments: [https://sakaiproject.atlassian.net/browse/SAK-49431|https://sakaiproject.atlassian.net/browse/SAK-49431|smart-link] ).

See the video of how 22x works and what is now seen on 25x/23x."
Recent Announcements: Incorrect attribution of highlighting,Bug,Resolved,Sakai,software,"In the Overviewâ€™s Recent Announcements widget, announcements created before deploying SAK-49957 will incorrectly display as highlighted."
Notifications: More detail for assignments that open in the future,Bug,Open,Sakai,software,"When an instructor creates an assignment that opens in the future, the notification is sent when the assignment opens. However, it only shows the instructor name and assignment name, no other details. 

I think this should have additional text, like the create/edit assignment notification, perhaps something like <instructor> has made assignment <assignment name> available in <site>



!image-20240412-192111.png|width=402,height=567,alt=""image-20240412-192111.png""!

One of these things is not like the othersâ€¦"
Notification: Separate notification message for create/edit assignment,Bug,Open,Sakai,software,"When an assignment is created or edited, the notification says <instructor> Created/updated a new assignment <name> in <site>.  This is the same message when an assignment is created and when an assignment is modified. I think it woudl be more useful to let students know created (new assignment) or modified (existing assignment, new settings) so they know how important it may be to view it immediately. "
Lessons: Checklists that wrap onto a second line have a blank line next to the checkbox,Bug,Open,Sakai,software,"The checklists are wrapping oddly, resulting in a blank line next to the checkbox when the checklist item wraps onto a second line.  

See the screenshots comparing Trunk/23.x with 22.x"
Assignments: value on student submissions screen being shown on wrong lines,Bug,Resolved,Sakai,software,"â€œAssignments by Studentâ€œ shows wrong grades on some cases, this seems to be caused by a velocity loop where $grade variable is not cleared sometimes.



!image-20240412-104424.png|width=1659,height=189,alt=""image-20240412-104424.png""!"
LTI-Assignments: Only show valid tools that can be added as an LTI assignment,Bug,Resolved,Sakai,software,"*Note:* (Per [~accountid:557058:718cd3f6-5ff9-42fa-8914-b4224aff1730])  This Jira is actually a mistake - it was filed based on an incorrect statement made by Dr. Chuck.   LTI 1.1 and 1.3 tools _should_ work and _both_ store and directly placed tools should work.  Now there  might be issues in functionality after the tool is placed - but this Jira can be closed as not a bug.

*Original (incorrect) filed as requested by Chuck.*

From previous testing, the point was made that only tools from the â€œstoreâ€ (the picker) should be used for LTI assignments. If there are multiple lti tools on the server, (1.1 â€œstoreâ€, 1.3 â€œstoreâ€, individual 1.1 or 1.3 tools), the tools show up as available when trying to add an LTI assignment. If a tool will not work with assignments, it should not be in the list for a user to choose from.

See the following Jiras:

[https://sakaiproject.atlassian.net/browse/SAK-49944|https://sakaiproject.atlassian.net/browse/SAK-49944|smart-link] 

[https://sakaiproject.atlassian.net/browse/SAK-48225|https://sakaiproject.atlassian.net/browse/SAK-48225|smart-link] 

[https://sakaiproject.atlassian.net/browse/SAK-48224|https://sakaiproject.atlassian.net/browse/SAK-48224|smart-link] "
Administration - PA: Change wording or add restore button for medium priority banners,Bug,Open,Sakai,software,"In the PA system, if you select a medium priority banner, there is text below the priority selection: Note: When a user dismisses a ""Medium"" alert, a small ""Show System Alerts"" button will remain at the top of their screen. Clicking on this button will cause all active Medium alerts to reappear for the user.

On Trunk and 23.x, I do not see this Show System Alerts button after dismissing a medium banner. 

This is not necessarily a bad thing - the system alerts message on 22.x was more intrusive and obvious than the banner itself. But if that button is not appearing, can we update this information to be more accurate? Or put that button somewhere useful like Notifications?"
Site Info: Tool reordering UX regressions,Bug,Closed,Sakai,software,"Beginning with Sakai 23, two significant UX regressions compared with Sakai 22 and earlier were introduced with the Tool Order function:

# Auto-scrolling no longer occurs when dragging an item to a location that would need to scroll vertically to display.
# When a page item has focus for using the â€˜uâ€™ and â€˜dâ€™ keys to move it, successive movements no longer work, because the page item loses focus.

Refer to the attached screencast, SiteInfoToolOrderRegressions.mp4."
"SakaiPlus - plus.provider.enabled - sakai.properties, README.md, and kernel BLTI values differ",Bug,Resolved,Sakai,software,"The code in PlusService.java

{noformat}public static final String PLUS_PROVIDER_ENABLED = ""plus.provider.enabled"";
public static final boolean PLUS_PROVIDER_ENABLED_DEFAULT = true;{noformat}

and PlusServiceImpl.java

{noformat}		return serverConfigurationService.getBoolean(PlusService.PLUS_PROVIDER_ENABLED, PlusService.PLUS_PROVIDER_ENABLED_DEFAULT);{noformat}

show that it sakaiplus is enabled by default.  However,

# *sakai.properties* shows default false
{noformat}# Enable the SakaiPlus provider - if this is false, all aspects of SakaiPlus are not avaiable
# plus.provider.enabled
# DEFAULT: false{noformat}
# The SakaiPlus main README.md files  says 
{noformat}# Not enabled by default
plus.provider.enabled=true{noformat}

# in the Kernel, RequestFilter.java *isLTIProviderAllowed* _could_ return false if *plus.provider.enabled* is not uncommented in sakai properties even though the default via the java code (above) is true
{noformat}	protected static final String SAKAI_BLTI_PLUS_PROVIDER_ENABLED = ""plus.provider.enabled"";
	.
	.
	.
			isLTIProviderAllowed =
			(serverConfigurationService.getString(SAKAI_BLTI_PROVIDER_TOOLS,null)!=null) ||
			(serverConfigurationService.getBoolean(SAKAI_BLTI_PLUS_PROVIDER_ENABLED,false));
{noformat}
"
Profile2 Wicket 6 to Wicket 9 Upgrade,Bug,Resolved,Sakai,software,Chore: upgrade Profile2 wicket
"Site: Add fields for first publish, most recent publish",Feature Request,Open,Sakai,software,"The details available for a given site are site include things like the site contact, creation date, and modification date. Iâ€™d like to see if we can add 1 or two more dates to the site information recorded for a given site - first published on <date> and last published on <date>.  

It may be useful with a course to be able to see when an instructor made it available to students. I included the most recent publish date since I donâ€™t know if thereâ€™s significant use cases where a site would be published, unpublished, then republished.  "
"View As-Unpublished site: navigation and site, (pinned/recent), not displaying ",Bug,Open,Sakai,software,"Using view as in a site that is unpublished and has not been published, portal doesnâ€™t draw the navigation once the instructor clicks view as.

If the instructor then publishes the site, clicks view as student, exits student view, unpublishes the site and uses view as again, then the navigation displays."
User Dashboard: Use nickname in welcome if present,Improvement,Closed,Sakai,software,"The user Dashboard tool has â€œWelcome <Name>â€ at the top of the page, above the MotD. I think it would be nice if this could use the nickname set in the profile if one is set. If a student has a prefered name, this would be a very nice personalization."
User Dashboard: Tasks not removed if a site is soft deleted,Bug,Open,Sakai,software,"If a site is marked for deletion (soft deleted), the tasks associated with that site are not removed from instructor or studentâ€™s user Dashboard task widget. Clicking on the arrow for that task gives a blank page with â€œThe site you requested is not available.â€ message. Soft deleted sites should have any and all tasks removed from user Dashboard tasks widget."
User Dashboard: Hide tasks for instructor when site is hidden or unpublished,Bug,Open,Sakai,software,"It does not seem possible to hide a siteâ€™s tasks from an instructorâ€™s user Dashboard. If an instructor hides a site through Preferences â†’ Sites, the tasks remain. An instructor who has taught a lot of classes over multiple terms will have a Tasks widget so cluttered with old data that it would be unusable. 

Hidden sites should not appear on an instructorâ€™s tasks widget. I personally feel that unpublished sites should not appear on an instructorâ€™s Dashboard tasks widget as well, but that can be debated. "
Presence events are not accurate,Bug,Open,Sakai,software,"# The presence events {{pres.begin}} and {{pres.end}} are not accurate. For example the events of a presence with the duration of 2:00 minutes (measured) results in events which timestamps difference is 1:33, 1:45, 1:54 (from multiple tests). There does not seem to be consistent inaccuracy, sometimes the difference is bigger or smaller. I am not certain if itâ€™s always off my x seconds or x%, I didnâ€™t do tests with long presences.
# Also there were premature pres.end events observed. It might be related to overlapping sessions, but itâ€™s not certain. I could not find the pattern, that is causing that behavior. For example when testing a presence of 2 minutes there were {{pres.end}} events after about a minute - while the session was active. When the session is finally closed, there is no additional {{pres.end}} event.

Note: Site presences begin with the first visit of a site within a session and ends with the logout - the session end.

I observed this behavior while working on [https://sakaiproject.atlassian.net/browse/SAK-47101|https://sakaiproject.atlassian.net/browse/SAK-47101|smart-link]. It did not happen on 22 and was observed without my changes deployed. master branch with fresh database."
Assignments: Assignment notification is duplicated after title is edited,Bug,Open,Sakai,software,"Steps to reproduce:

* create an assignment in a sakai site
* edit assignment and alter the title of the assignment
* as a student in that sakai site, you now have 2 notifications for the same assignment: one with the old title and one with the new title"
Update Apache Commons IO 2.16.1,Bug,Closed,Sakai,software,"[ANNOUNCE] Apache Commons IO 2.16.1
The Apache Commons team is pleased to announce Apache Commons IO 2.16.1.

The Apache Commons IO library contains utility classes, stream
implementations, file filters,
file comparators, endian transformation classes, and much more.

Java 8 is required.

h2. Fixed Bugs

o Reimplement FileSystemUtils using NIO. Thanks to Gary Gregory.
o IO-851: FileSystemUtils no longer throws IllegalStateException.
Thanks to Sebb, Gary Gregory.
o Avoid possible NullPointerException in
FileUtils.listAccumulate(File, IOFileFilter, IOFileFilter,
FileVisitOption...). Thanks to Gary Gregory.
o IO-853: BoundedInputStream.reset() not updating count. Thanks to
Mike Drob, Gary Gregory.
o ThresholdingOutputStream: a negative threshold should
behave like a zero threshold and trigger the event on the first write
#609. Thanks to rproserpio, Gary Gregory.

h2. Changes

o Bump commons.bytebuddy.version from 1.14.12 to 1.14.13
#605. Thanks to Gary Gregory.
o Bump org.apache.commons:commons-parent from 67 to 69 #608.
Thanks to Gary Gregory, Dependabot.

Commons IO 2.7 and up requires Java 8 or above.
Commons IO 2.6 requires Java 7 or above.
Commons IO 2.3 through 2.5 requires Java 6 or above.
Commons IO 2.2 requires Java 5 or above.
Commons IO 1.4 requires Java 1.3 or above.

Historical list of changes:
[https://commons.apache.org/proper/commons-io/changes-report.html|https://commons.apache.org/proper/commons-io/changes-report.html|smart-link] 

For complete information on Apache Commons IO, including instructions
on how to submit bug reports, patches, or suggestions for improvement,
see the Apache Commons IO website:

[https://commons.apache.org/proper/commons-io/|https://commons.apache.org/proper/commons-io/|smart-link] "
Cannot Add External Tool (LTI 1.1) as an Assignment Type,Bug,Closed,Sakai,software,"When trying to add an LTI tool as an assignment type the assignment settings screen pops out of frame (loses all top and left nav), reverts to the original non-LTI submission type. 

Hereâ€™s a screenshot of the external tool being selected.

!2024-04-09_16-40-52.png|width=83.33333333333334%,alt=""2024-04-09_16-40-52.png""!

But, when you click Save on that screen, you lose all the top and side nav and it reverts to the original assignment settings before selecting a tool and with the default â€œinline an attachmentsâ€ submission type.  

!2024-04-09_16-37-50.png|width=100%,alt=""2024-04-09_16-37-50.png""!

Re-selecting the external tool type and re-adding the tool from this screen just takes you back to the initial settings screen with the default options again."
Samigo: creating assessment using markup text the key words may not be recognized,Bug,Open,Sakai,software,"The occurrence of this issue depends on the language set by the user. 

* set language to e.g. es_ES, ro_RO, de_DE
* in tool samigo create new assessment using markup text
* create question with the given example text with key words for e.g. Multiple Choice:
2. _(15 points)_
_Which of the writers below were American citizens at some point in their lives?_
_*a. Bill Faulkner_ 
_b. Ginny Woolf_ 
_*c. Tom Eliot_
{color:#ff991f}_#randomize_{color}
{color:#ff991f}_#rationale_{color}
* depending on the language the keywords are not or  only partially recognized. For some languages e.g. en_US, fr_FR they are fully recognized.



Note: I did not test all the available languages."
Courses not automatically pinned for instructor until they log out and back in,Bug,Closed,Sakai,software,"[https://sakaiproject.atlassian.net/browse/SAK-49716|https://sakaiproject.atlassian.net/browse/SAK-49716|smart-link] passed on 24x, but on 25x and 23x, there is an issue with automatic pinning for the instructor. If the instructor logs out and then back in, the site(s) show as pinned.

When an instructor creates a new site, (published or unpublished), or if the instructor is logged in when the admin creates a site with the instructor, the instructor will see the site(s) in Worksite Setup or in the Site Drawer, but the site(s) are not automatically pinned and showing up on the navigation.

Once the instructor logs out and logs back in, the sites are pinned."
Lessons import from site fails when a linked quiz is null,Bug,Closed,Sakai,software,"When importing Lessons to another site if an assessment was linked and then removed (no longer accessible, i.e. removed from the db) then Lessons will fail to import and the following log message is visible:

{{ERROR [pool-11-thread-1] o.s.s.i.SiteManageServiceImpl.transferCopyEntities Error encountered while transferring data for producer: [lessonbuilder] from: [917a7cbb-27db-4d00-94f4-00491160b9a3] to: [d38e7134-485b-46ff-812c-9c2ffa4ce885], org.springframework.transaction.UnexpectedRollbackException: Transaction rolled back because it has been marked as rollback-only}}"
ckEditor: enabled dark mode results in a white line between toolbar and content,Bug,Verified,Sakai,software,"steps to reproduce:

* switch to dark mode
* go to a tool with ckEditor (e.g. assignments â†’ Add assignment)
* between the toolbar and content body, there appears a white line



It seems that this was introduced with the fix to [https://sakaiproject.atlassian.net/browse/SAK-11632|https://sakaiproject.atlassian.net/browse/SAK-11632|smart-link]. 
"
Announcements: Announcements for the future clicking redirects to a page. ,Bug,Open,Sakai,software,"The link to the announcement is broken. On trunk, the instructor who published the announcement cannot view it - all roles instructors, TAs and instructors canâ€™t access the announcement details."
Announcements: Announcement notification doesnâ€™t display edited heading,Bug,Open,Sakai,software,Notification displayed for announcement does not show new heading if edited after posting.
Rubrics: New keyboard-only method for mimicking the â€œdrag to reorderâ€ option not working for screen reader users,Bug,Open,Sakai,software,"I previously created SAK-48580 to report some issues I was observing with the â€œdrag to reorderâ€ icons in Rubrics.

Â 

The fixes that were made seem to work for sighted testers who are using their keyboard, however, for screen reader users, when they navigate onto any of the â€œdrag to reorderâ€ icons, they are not able to get the â€œEâ€ or â€œDâ€ keys to work.

Â 

For reference, I attached a short video I created when retesting SAK-48580.



I tested this on trunk/master using six different screen reader/web browser combinations (JAWS+Chrome, JAWS+Firefox, JAWS+Edge, NVDA+Chrome, NVDA+Firefox, and NVDA+Edge) and I am observing the same behavior.

Â 

The one exception to the above, is that the JAWS screen reader has a special insert+3 pass through keyboard command that essentially nullifies/over-rides any keystrokes that the screen reader might be using, so if I navigate onto one of these â€œdrag to reorderâ€ icons, press insert+3 to activate the JAWS pass through command, then press â€œEâ€ or â€œDâ€, I can get the Rubric item to reorder.

Â 

The problem is that this is not a very well known JAWS feature, and the novice screen reader user might not know to use this, plus Iâ€™m not aware of an equivalent option for other screen readers like NVDA."
Remove Conditional Release from Kernel,Improvement,Open,Sakai,software,"This old â€œconditional releaseâ€ piece seems to be unused and with no updates for a long time, so maybe we could remove all the related code, from kernel (org.sakaiproject.conditions) and content (ResourceConditionsHelper)."
Rubrics: Add actual name to generic tooltips,Bug,Closed,Sakai,software,"This is not an issue on 22x. From [https://sakaiproject.atlassian.net/browse/SAK-49091|https://sakaiproject.atlassian.net/browse/SAK-49091|smart-link] 
In 22.x, the tooltip is â€œEdit Rubric <Rubric Name>â€ and â€œEdit Criterion <Criterion Name>â€, on 25x and 23x just the generic name is given. The rubric name and criterion should include the actual name, otherwise this is an accessibility issue. If there are 10 rubrics, and they all say â€œEdit rubricâ€, how does the user know which rubric theyâ€™re editing?



!image-20240404-232852.png|width=426,height=205,alt=""image-20240404-232852.png""!"
Rubrics: Rubric Statistics feature not working in Gradebook,Bug,Closed,Sakai,software,The Gradebook feature â€˜Rubric Preview/Statisticsâ€™ no longer displays controls for viewing rubric statistics. Refer to the test plan for details
Lessons: border property of legacy colors  takes no effect,Bug,Open,Sakai,software,"Steps to reproduce:

* Edit a section/column of content in lessons
* Choose a legacy color and enable the Show Border option
* The color of the border lines is taken over from the .column class but not from the .col<legacyColor> class"
Update Apache commons Imaging 1.0.0-alpha4,Bug,Closed,Sakai,software,"h4. [ANNOUNCE] Apache Commons Imaging 1.0.0-alpha4
The Apache Commons Imaging team is pleased to announce the release of
Apache Commons Imaging 1.0.0-alpha4.

Apache Commons Imaging (previously Sanselan) is a pure Java image library.

The 1.0.0-alpha4 release requires Java 8.

Historical list of changes:
[https://commons.apache.org/proper/commons-imaging//changes-report.html|https://commons.apache.org/proper/commons-imaging//changes-report.html|smart-link] 

For complete information on Apache Commons Imaging, including
instructions on how to submit bug reports, patches, or suggestions for
improvement, see the Apache Commons Imaging website:

[https://commons.apache.org/proper/commons-imaging/|https://commons.apache.org/proper/commons-imaging/|smart-link] "
"Conversations: Replying does not work, clicking on a post causes console errors",Bug,Resolved,Sakai,software,"This issue only affects 23x.

In the conversations tool, if you click on any post, several console errors appear. If you try to reply to a post, both the â€œPublishâ€ and â€œSave as Draftâ€ buttons do nothing and cause another console error. See the attached video.

May be related to [https://sakaiproject.atlassian.net/browse/SAK-49890|https://sakaiproject.atlassian.net/browse/SAK-49890|smart-link]."
Assignments: Make Peer Review Comments Visible from Grader fails with multiple console errors,Bug,Closed,Sakai,software,"[https://sakaiproject.atlassian.net/browse/SAK-47987|https://sakaiproject.atlassian.net/browse/SAK-47987|smart-link] was merged to 23x, failed there and testing 25x, it fails there also, so something changed since it was tested on 24x.

The following message loads and stays on the screen, never loading the grader.

Loading the grading data ...
This may take a few seconds.

Console error 1:

{noformat}ckeditor.js?version=8a7bd19c:19 
 [CKEDITOR] Error code: editor-incorrect-element. 
{element: 'grader-feedback-comment'}
 [CKEDITOR] For more information about this error go to https://ckeditor.com/docs/ckeditor4/latest/guide/dev_errors.html#editor-incorrect-element{noformat}

Console error 2:

{noformat}grader.js?version=8a7bd19c:769 
 Uncaught (in promise) TypeError: Cannot read properties of null (reading 'on')
    at Gt._replaceWithEditor (grader.js?version=8a7bd19c:769:6061)
    at Gt._setup (grader.js?version=8a7bd19c:769:3939)
    at grader.js?version=8a7bd19c:769:3854{noformat}

Console error 3:

{noformat}grader.js?version=8a7bd19c:270 
 Uncaught (in promise) TypeError: Cannot read properties of undefined (reading 'peerassessment.peerGradeInfo')
    at Gt._renderGradeInputs (grader.js?version=8a7bd19c:270:54)
    at Gt._renderGrader (grader.js?version=8a7bd19c:391:20)
    at Gt.render (grader.js?version=8a7bd19c:766:16)
    at Gt.update (chunk-7SD77TLE.js:6:6605)
    at Gt.performUpdate (chunk-7SD77TLE.js:2:5862)
    at Gt.scheduleUpdate (chunk-7SD77TLE.js:2:5412)
    at Gt._$EP (chunk-7SD77TLE.js:2:5320)
ï»¿{noformat}"
